Spot,reviewTitle,reviewScore,reviewComment
日本文化体験 庵an京都,楽しくおいしかった,5.0,子どもの希望で12月に当日予約しました。雪うさぎと松の練り切りを作りました！4名で参加しましたがそれぞれ味がある和菓子ができてとても楽しかったです。他の季節はどんなものがあるのかととても気になります。子ども達もまた行きたいと言っていました。説明はわかりやすく海外の方には英語で説明されていました。持ち帰りもできますが容器代は100円かかり、生菓子なので早く食べたほうがいいとのこと。私たちはその場でいただきました！とってもおいしかったです！
日本文化体験 庵an京都,とても楽しかった,5.0,説明もわかりやすく
日本文化体験 庵an京都,お話しが軽快,4.0,講師の人の話しがプチ知識にもなり、面白かった。文化体験なので、和菓子を作るだけではない配慮があった。
日本文化体験 庵an京都,楽しかったです。,4.0,練り切りの和菓子を作らせていただきました。
日本文化体験 庵an京都,期待していたのにがっかりでした,1.0,席が真ん中が随分空いていたのに、一番後ろの席に案内され、料金に差が有るのか前の座られた方にはお茶デザート等提供されていましたが、ほとんど私たちは無視状態で舞妓さんの踊りも前の席の方で隠れて全く楽しめませんでした。
日本文化体験 庵an京都,案外面白く京都ぽい,4.0,私達夫婦以外は修学旅行の子供達だけの少人数。美味しい体験で京菓子が身近に感じられる楽しい時間を過ごせました。講師は優しく説明してくれますし補助の方は外国のかたで5年修行中？自分で作ったものとても美味しかったです。
日本文化体験 庵an京都,楽しい体験できました,4.0,電車の関係で時間が取れたため前日夜遅くに予約できました。
日本文化体験 庵an京都,初めての和菓子作り,5.0,ものづくり大好きの小3娘が1人で参加しました。
日本文化体験 庵an京都,楽しかった,5.0,ねりきりを見本通りに作り、お茶をたてる。外国の方と日本人が半々くらいで、日本語と英語で分かりやすく説明して下さり、出来上がりは人それぞれ。その場でいただき、美味しく楽しかったです。
日本文化体験 庵an京都,和菓子体験,5.0,場所はすぐ分かりましたが、入口が分からずうろうろしてしまいました。
ベッセルホテルカンパーナ京都五条,清潔で気持ち良い,4.0,平日の夕方ごろに訪れました。ほかにも数人おられましたが、スペースには余裕があり、それぞれで静かに過ごせました。サウナは広くはありませんが、十分温まれます。一階のロビーには清涼飲料水などのドリンクバーがあり、着いたときに休憩できるのも良いです。アメニティはお風呂にもありますが、ロビーにも個包装のものがあります。タオルも貸していただけるので、着替えさえあればいつでも寄れてとてもありがたいです。
ベッセルホテルカンパーナ京都五条,清潔感のあるホテルです。,5.0,ポイント利用で大浴場を利用しました。広い浴場で、サウナも利用できました。清潔感があり、アメニティーとしてメイク落とし、化粧水、乳液がありましたので手ぶらで利用することができます。18時頃、夕食の時間だったようで2人しかいなかったのでゆっくり利用でいました。
ベッセルホテルカンパーナ京都五条,スムーズな案内でリラックスできる,4.0,平日の夕方に訪れました。インバウンドや修学旅行生なども多数来られていましたが、入浴はすぐ案内してもらえました。早めの時間帯だったので空いていて快適に過ごせました。清潔でゆったりできます。
ベッセルホテルカンパーナ京都五条,駅近で便利,3.0,日帰り入浴を楽しみました。
ベッセルホテルカンパーナ京都五条,ゆったり,4.0,お風呂も広く、手ブラで、日帰り入浴が出来るので、便利です。週末は、混んでます。平日の早い時間がおすすめ、アメニティはあります。ドリンクバーがあるけど最初利用してよいか分からなかった。案内がない。2回目行った時、時間が早かったので、こちらお待ちください。と言われた。利用できると分かった。
ベッセルホテルカンパーナ京都五条,リピなし。,2.0,普通のお風呂にサウナです。
ベッセルホテルカンパーナ京都五条,親切な案内で快適,4.0,じゃらんでお風呂を予約したことを伝えると、フロントでバスタオルとともにすぐに案内してもらえました。アメニティは備え付けてあります。手ぶらで寄れるのがありがたいです。平日の早めの時間帯だったので空いていましたが、そこまで広くはないので、夕方からはそれなりに混みあいそうです。サウナは4，5人が座っていっぱいになるくらいです。蛇口、シャワーは十分な数があります。アクセスが良く、館内も清潔なので、手軽にお風呂を利用できるのはとてもありがたいです。
ベッセルホテルカンパーナ京都五条,ゆったり過ごせます,4.0,大きなお風呂でゆったりとリラックスできます。館内も清潔で安心して過ごせました。観光客が増えているので、ある程度混む時間があるのは仕方ないですね。アクセスが良いのは魅力です。
ベッセルホテルカンパーナ京都五条,ドリンクバーが充実,4.0,フロントの対応は丁寧でした。
ベッセルホテルカンパーナ京都五条,ゆっくりできました,4.0,ポイント利用でいきました。リピーターです。観光客も多くロビーでドリンクを飲みながら入浴可能な時間までまちました。
ベッセルホテルカンパーナ京都五条,気になる点がありました,3.0,「じゃらんで予約しました」とフロントの男性スタッフ伝えたところ、名前と料金の確認をされバスタオルを渡されました。質問すればよかったのかもしれませんが、脱衣所にどんなアメニティがあるかとか、バスタオルはフロントに返却するのかなど説明がありませんでした。
ベッセルホテルカンパーナ京都五条,広くてサウナ付の大浴場、最高！,5.0,ホテルスパのみ利用です。駅近で立地が良く、タオルも借りれるので手ぶらで行けて有り難いです。もちろんサウナ付のお風呂も最高！！
ベッセルホテルカンパーナ京都五条,全体的にキレイで最高！,5.0,お風呂も広いし、サウナもあって、最高！　また行きたいです！！　(ホテルスパにはサウナが無いところもあるんです)
ベッセルホテルカンパーナ京都五条,日帰り入浴,3.0,何度か利用しています。
ベッセルホテルカンパーナ京都五条,ゆっくりのんびりできます,4.0,バスタオル付きで、フェイスタオルは脱衣所にたくさんあります。訪れた時間帯のせいか、人も少なくてゆったり広いお風呂やサウナを楽しめました。途中で入ってこられた方が、長い髪を結ばずにお風呂に入っていたのはどうかと思いましたが、それ以外はとても楽しめました。また伺いたいです。ありがとうございました。
ベッセルホテルカンパーナ京都五条,満喫しました☆,5.0,時間的なのか空いていて、私だけの時間もあり、満喫しました。ウォーターサーバーの水がぬるくて、「冷水」と期待したら残念でした。水風呂の温度が冷た過ぎてサウナに長く入っても冷え冷えになります。市内で少し時間の開いた時に利用できて、助かります。
ベッセルホテルカンパーナ京都五条,居心地のよい空間,4.0,ポイント消化のため利用させて頂きました。バスタオルはフロントで渡して頂け、フェイスタオルは大浴場にありますのでボディタオルを持参すれば利用できます。サウナ、水風呂、一種類の温泉があります。そしてドリンクバーのサービスがありリラックスできました。また利用させて頂きたいです。ありがとうございます。
ベッセルホテルカンパーナ京都五条,がっかりした,2.0,宿泊利用。写真で食事が美味しそうなのでいったけど、まずかった。他のホテルにすればよかったとがっかりした。写真にはお刺身も載っていたはず。あまりにイメージ違い。
ベッセルホテルカンパーナ京都五条,お風呂は広くて綺麗でした。,4.0,お風呂は広くて綺麗でした。ややぬるめでした。
ベッセルホテルカンパーナ京都五条,さっぱりしました,5.0,ポイント消化に予約しましたが、予想以上でした。初めて利用したのですが、フロントの方も丁寧に説明して下さったのでスムーズに利用できました。タオルも持参せずに済むのでふらっと立ち寄りやすいです。さっぱりとできてとても満足しています。また利用したいです。
HOTEL KUU KYOTO,ゆっくりできました,5.0,玄関前の小川がかわいい。あたたく迎えてくれてフロントの心遣いが嬉しかったです。浴場は掃除も行き届いており空いていました。小浴場で木の風合いが落ち着きました。ゆっくり浸かり疲れを取ることができました。
HOTEL KUU KYOTO,美味しかったです,5.0,二回目の利用です。夜行バスで京都に着いた朝、利用しました。お風呂は小さい方の日でしたが、フロントの方が今混んでますと教えてくださり先に、朝食バイキングにしました。
HOTEL KUU KYOTO,じゃらんの遊び・体験からの予約,4.0,夜行バスに乗る直前、前日予約での利用。京都駅からも程近く、手頃な価格で利用できたのは有難かったです。
HOTEL KUU KYOTO,期待はずれ,1.0,簡易なお風呂に入りたい方なら良いが、リフレッシュを含めて考えている場合はおすすめしないです。宜しくお願いします。
HOTEL KUU KYOTO,浴室の混雑が酷い,1.0,夜行バスまでの時間潰しに日帰り入浴を利用しました。私達も予約をしていましたが、人数制限をしていないのか、キャパを遥かに上回る人数が浴室内にいました。浴室も狭いし、脱衣所は着替える場所も無くて、ドアの前やトイレの前で着替える始末。ドライヤーが二つしかないのに、髪の長い若い子が5、6人待っていて、いつまで経っても脱衣所から人がいなくならないので、後から入ろうとしてやってきた宿泊客が諦めて帰っていきました。それを見て、宿泊するのはやめようと思ってしまった。
HOTEL KUU KYOTO,シャワーの水圧満点！,3.0,暑い京都駅周辺の散策後に日帰り温泉で利用しました。
HOTEL KUU KYOTO,心地よく過ごせました,5.0,朝食のみ利用させていただきました。ホテルモーニングを良く利用するのですが、最近のホテルモーニングはかなりの混雑ぶりですが、とても優雅にお食事することができました。食事をする際、直接朝食会場に向かいましたが、フロントに行ってチェックインした方がよかったのか、どちらかわかりませんでした。結果、直接会場に行くのが正解でした。
HOTEL KUU KYOTO,密を避けてのんびりできました,5.0,当日予約しましたが、本当に助かりました。夜行バス乗車前、GW中とあってどの温浴施設も混み合うであろう中、お手頃な値段と駅からのアクセスの良さ、更にタオルも貸して頂き、大きな浴槽にサウナ＆水風呂！利用した日はGW中でしたが、数人しか入っておらず、時間を忘れてのんびり過ごすことができました。また機会があれば利用させて頂きます。本当にありがとうございました。
HOTEL KUU KYOTO,美味しかった〜ご馳走様,5.0,お食事大変美味しかったです。
HOTEL KUU KYOTO,セキュリティー安心なお風呂,3.0,朝利用させていただきました。フロントから浴場入り口まで案内して解錠してくれました。開けてすぐ脱衣所です。
HOTEL KUU KYOTO,気持ちよくて最高な湯でした,5.0,日帰りでお風呂を予約。夜行バスを待つ間、ちょうどよく利用
HOTEL KUU KYOTO,朝食おいしかったです。,5.0,思っていたより料理の種類が多くたくさん食べてしまいました。
HOTEL KUU KYOTO,良いお湯でした,4.0,女性が大浴場であることを確認して予約しました。温冷浴が好きなので、何度もお湯やサウナと水風呂を往復して過ごしました。お湯や水風呂の温度もちょうど良かったです。冷水機もあり、水分補給もできて助かりました。スタッフの方も感じが良かったです。また利用したいと思います。
HOTEL KUU KYOTO,駅チカ,3.0,夜行バス利用で、早朝に到着して利用しました。道を間違えて遠回りしてしまいました。
HOTEL KUU KYOTO,どの料理も美味しくて満足です,4.0,少し小さめのレストランなので、宿泊客もいて時間帯によっては満席の可能性が高いと思いますが、待つ価値は十分あります。当日は８時半ごろにフロントで受付しましたが、２組分ほど席が空いていたので待たずに食べることができました。最初は品数の多さにどれから取ろうか迷い、一品の盛りが小さいので、なくなるのではと思いましたが、すぐに補充されて問題なかったです。料理は睦月のフェアーとして京豆腐ハンバーグ、バターチキンカレー、生麩田楽、そのほか京都おばんざいがたくさんあり、定番メニューもかなり凝った内容でした。少しずつ食べてもお腹いっぱいになり、オーダースイーツは頼めませんでした。
HOTEL KUU KYOTO,ゆっくり出来ました。,5.0,お風呂に入らずに、朝食だけ利用させていただきました。　どれも美味しくて、特にデザートが良かったです。
HOTEL KUU KYOTO,夜行バスにて,1.0,お風呂のあまりの狭さと（アメニティ・基礎化粧品も充実）と書いてありますが、タオルと浴場のシャンプー・リンス・ボディーソープ・基礎化粧品だけで、どこでもあるほんとの最低限しかないので、『充実』とは言えません。
HOTEL KUU KYOTO,とても雰囲気の良いところでした。,4.0,まずフロントの方の印象がとても良かったです。どのお客様にも笑顔でとても親切に対応しておられる姿に好感が持てました。お食事もスタッフさんがてきぱき働いておられ、補充も頻繁に行われていました。また、オーダースィーツの内容を聞いた際に詳しく確認してくださりとても助かりました。パンは正直「これだけ？」とがっかりする量でしたが、そのほかの副菜やフルーツ、また自分で作るおうどんまであって面白かったです。アイスクリームもとっても美味しかったです。ありがとうございました。
HOTEL KUU KYOTO,観光の合間の癒し,5.0,東本願寺の目の前で、わかり易くてよかったです。時間が早かったので、混雑することなくゆっくり入れました。洗い場が畳敷きなのには驚きましたが、料金にタオルも含まれており、リーズナブルでした。
HOTEL KUU KYOTO,美味しい朝ごはん,5.0,京都の朝食ビュッフェはいくつか利用させて頂きましたが、一番美味しかったです。
京都水族館,子供も大人も楽しい,5.0,クラゲの種類や展示がたくさんで本当に癒されました。チンアナゴもかわいくてずっと見ていられるような空間でした。ペンギンも近くで見れて子供も楽しんでいました。広くないからたいしたことないかと思っていたけれどギュッと凝縮された楽しい空間でした。遠方からだから無理ですが、コレは年間パスを買いたくなる気持ちがよくわかりました。近くに住んでいたら足繁く通ってしまいそうです。
京都水族館,オオサンショウウオがメインです,5.0,たまたま5日に、1回のオオサンショウウオのご飯の時間に訪問することができました。
京都水族館,宣伝と違いました,1.0,飼育生物は予想よりかなり少なく、その反面、館内スタッフがとても多く、ブラブラしているのが目につきました。オオサンショウウオの展示は一見の価値あり。子供は喜ぶと思います
京都水族館,ゆっくり過ごせました,4.0,あまり混んでいなくて、ゆっくり館内をまわることができました。
京都水族館,オオサンショウウオとクラゲの種類の多さにびっくり,5.0,妻が脚が悪いため、車いすを借りて回りました。はじめて行ったため、順路がわかりにくく、パンフレットの所在もわからなかったため、ちょっと無駄な動きになってしまいましたが、最初の水槽にいるオオサンショウウオの大きさにびっくり。この大きさのものははじめてでした。クラゲもこれほど多いのははじめてでした。妻は、鳥獣戯画に描かれているような動きをする蛙に魅せられていました。
京都水族館,珍しい淡水魚中心の水族館,5.0,内陸京都の水族館は珍しいし、淡水魚の展示が珍しい！大山椒魚は素晴らしかったです。京都駅からタクシー、ワンメーターで簡単に行けます。
京都水族館,水族館,4.0,こじんまりしてるけど見易い水族館でした
京都水族館,イマイチでした(T_T),3.0,"今まで色んな水族館に行きましたが…金額(一般2,400円)の割には高齢ジジイにゃあ感動するモンが無かった(ToT)そう感じた次第(;´д｀)"
京都水族館,回りやすく、楽しめる街中の水族館,4.0,土曜日の午後から伺いましたが、ほどよい混み具合でイルカのごはんや遊び時間は直近の時間でも前で見ることができました。(濡れる場所でも、そこまで濡れなくて良かった！)
京都水族館,楽しめなかった,1.0,スタッフの方々が、なんかピリピリしていて、テンションが下がりまくり。
京都水族館,のんびり巡るのに最高,5.0,家族で入ろうと思うと少々費用がかかるが。えいやペンギンの餌やりやいるかのショーなど、満足の館内だった。
京都水族館,思ってたより京都駅から遠かった,3.0,京都駅からの道がいまいち分からず。祖母と行ったのもありますが、夏の時期にはなかなかキツかったです。
京都水族館,座って見れて楽しかったです,4.0,初めて京都水族館を訪れました。じゃらんでチケットを購入して京都駅からタクシーで900円で到着。
京都水族館,大人一人でも満喫,4.0,出張の空き時間に立ち寄りました。そもそも水族館が好きなので、そういう流れなのですが、なかなか良い水族館です。
京都水族館,ほのぼのしていて良かった,4.0,小さいという評判とあまり珍しい生き物もいなさそうでイルカショーも休演中だし行く価値はあるのかと思いつつ、前から気になっていたので行ってみました。施設が新しくて気持ちよく、かわいい動物たちに癒されました。何匹も重なって寝ているオオサンショウウオとか延々同じ泳ぎを繰り返しているオットセイとか動物の行動が面白かったです。小さい生き物はいろんな種類がいて楽しめました。平日でも人が結構いて見づらい時もあったので、本当は見たかったナイトショーのある休日を避けて良かったと思いました。イルカショー再開したら☆5です。
京都水族館,本物のオオサンショウウオ！,5.0,京都水族館には京都駅からバスが出ていますので、簡単に行くことができます。時間に合わせて上のスケジュールを追ってみて行くのも良いと思います。入ってすぐに大山椒魚の水槽があり、おおさんしょううおがたくさん入っていて、大山椒魚の生態を観察することができます。おおさんしょううお月にはぜひ訪れていただきたい水族館です。鴨川の長生生が増えすぎて大山椒魚をどうするかと言う時に、京都水族館を作って大山椒魚を保護しているそうです。他の生き物もたくさん見られますので、ご家族連れにもぜひお勧めです。1人でも楽しめます。
京都水族館,オオサンショウウオが好きな人は良いかと！,4.0,珍しいオオサンショウウオがたくさんいますので、
京都水族館,素敵な水族館,5.0,初めて伺いました。水族館に初めて2時間以上いたかもしれません。ちょうど京都音楽博覧会もあり、イルカブースでライブを体感することもできて、感動！楽しかったです！時間が合わずイルカショーは見れませんでしたが、楽しい時間を過ごせました。また利用したいです。
京都水族館,大人には物足りない,3.0,期待はしていませんでしたが、大人には物足りない感じでした。入場料が１８００円ぐらいなら納得でしょうか。
京都水族館,とても近くで見れる水族館,5.0,子供連れに優しく、楽しめる水族館です。生き物の表示が、ひらがななのもおもしろい。他の水族館にはない、楽しさがあります！特に暑い夏の京都旅行おすすめ
レンタル着物・着付け 寺町美人,大満足でした,5.0,カップルプランで利用させていただきました。着物も自分のお気に入りのものを見つけることができ、待ち時間もほとんどなく着付け、ヘアセットをやってもらえました！ヘアセットも、ショートヘアでもかわいくしてもらえて嬉しかったです。また京都で着物を着る機会があれば、ここで予約したいと思いました。
レンタル着物・着付け 寺町美人,店員さんも親切で、素敵な着物が着れました。,5.0,初めて利用させていただきましたが、
レンタル着物・着付け 寺町美人,楽しい,5.0,沢山の着物の中から選べるプランでした。ヘアセットの方も着付けの方もとても親切で楽しくお話ししながら準備していただけました。
レンタル着物・着付け 寺町美人,京都らしさが最高,4.0,サービスやスタッフの対応が良く、京都においては貴重なお店だと思う。着物をまとった女性は見違えるほど素晴らしいものだった。
レンタル着物・着付け 寺町美人,すごく親切に対応していただけました！,5.0,着物、浴衣、草履やバッグなどの種類も豊富で迷っていると、一緒に親身になって選んでくださいました！
レンタル着物・着付け 寺町美人,着付け、ヘアセットがめちゃ早かった・刀剣乱舞のファンの店員がいるから楽しい！,5.0,【メリット】
レンタル着物・着付け 寺町美人,とても素敵な体験ができました！,4.0,着付けやヘアセットなど丁寧に対応していただきました。
レンタル着物・着付け 寺町美人,荷物も預けられて、カバンも提供してくれました,4.0,レンタルだと着替えはどうするのか気になっていましたが、鍵付きのロッカーに預けられて、一日中楽しめました。浴衣に合わせてカバンも貸してもらえて、フルコーディネートを楽しめてよかったです。
レンタル着物・着付け 寺町美人,素敵な思い出★,5.0,着物の種類たくさんあって、選んでいるのも楽しかったです！スタッフの方がとても親切で間違った予約をしてしまったんですが対応していただいてありがとうございました。
レンタル着物・着付け 寺町美人,旦那ドッキリ,4.0,旦那とランチ約束して、内緒で着物着て驚かせようと思い利用しました。
レンタル着物・着付け 寺町美人,二回目の訪問でした,5.0,前回秋頃に浴衣をレンタルさせて頂き、従業員の方もみんな親切で浴衣も色々選べて楽しかったため再度着物レンタルをしたくてこちらの寺町美人さんにお願いしました。男性の着物はたくさんはないようですが女性の着物はたくさんあり、アドバイスも下さるため悩みましたがとても素敵な着物をチョイス出来ました。ヘアセットも素敵ですし、行きに写真を撮って下さるサービスがとても嬉しいです。また機会がありましたらこちらにお願いしたいと思っていますし、友人にも勧めたいなと思います。ありがとうございました。
レンタル着物・着付け 寺町美人,京都観光で訪れました！,5.0,カップルプランで予約させていただき、＋2000円クーポン割引で2人で5000円でした！
レンタル着物・着付け 寺町美人,着物もヘアも可愛い！,5.0,以前利用させて頂いた際に、着物もヘアもスタッフの方もとても素敵だったので今回も利用させて頂きました！手荷物を鍵付きロッカーに入れられるところも安心です。ヘアセットも、自分ではできないような素敵な仕上がりで大満足です♪また京都へ行く際には利用したいと思います！ありがとうございました。
レンタル着物・着付け 寺町美人,かわいい着物がたくさん,5.0,かわいい着物や帯がたくさんあり、とてもわくわくする素敵な空間でした。選ぶ際に丁寧にアドバイスをくださったのも嬉しかったです。
レンタル着物・着付け 寺町美人,京都観光！,5.0,着物の種類が多くどれも可愛かったです。
レンタル着物・着付け 寺町美人,素敵な一日になりました,5.0,久々の友人と、前々から憧れていた着物観光を実施したく予約させて頂きました。
レンタル着物・着付け 寺町美人,素敵な思い出になりました,5.0,着物、帯、鞄まで全て相談に乗っていただいたおかげで、とても素敵な仕上がりでした。写真まで撮っていただき大変満足です！
レンタル着物・着付け 寺町美人,お姉様方BIG LOVE!,5.0,スタッフのお姉様方が皆優しくて話しやすいです！
レンタル着物・着付け 寺町美人,素敵な1日を過ごせました！,5.0,こじんまりとしたお店でしたが、他のお客さんもいなくてゆっくり好きな着物を選ぶことができました。
レンタル着物・着付け 寺町美人,優しくて着物もヘアセットも可愛かったです！,5.0,ヘアセット付きので予約して追加料金もなく安心して選ぶことができました！また色々な可愛い着物があってヘアセットも可愛くしていただきました！また、とても優しく丁寧に対応していただきました！
瑞光窯　京都清水店,陶芸ろくろ体験,5.0,仲良し女子三人で初めてのろくろ体験
瑞光窯　京都清水店,初陶芸楽しかったです！,5.0,初めて陶芸体験をしました！１つ１つ丁寧に教えて下さり、自分好みのものが作れました！とても楽しかったです！
瑞光窯　京都清水店,とても親切で楽しかったです,5.0,初めての陶芸でしたが説明がとてもわかりやすく、親切に教えてくれました！なかなかないターコイズ色がとてもかわいいです、
瑞光窯　京都清水店,陶芸体験！！,5.0,関西旅行の思い出に陶芸体験をしました！
瑞光窯　京都清水店,1人でやってみたけど楽しかった。,5.0,親切なお姉さんが付きっきりでレクチャーしてくれました。携帯の充電がなくなりかけていてたけど写真撮影もしてもらえました。充電器も貸していただき本当にありがたかったです。
瑞光窯　京都清水店,本当に楽しく体験できました！,5.0,60分作り放題で2枚お皿がついてくる、瑞光プランにしました！このプランで正解！初めての陶芸で最初は上手に作れるか不安でしたが、担当してくださった男性スタッフの方が本当に優しくて丁寧にご説明して下さいました。私達がいうワガママに対して少しも嫌な顔をせず、全て対応してくださって、否定的な言葉も一切言わないし、発言も面白くて、褒め上手で、、終始笑顔で体験ができました。この方に感謝です。
瑞光窯　京都清水店,素敵な時間,5.0,土を触って好きな形を作っていくとても楽しく素敵な時間が過ごせました
瑞光窯　京都清水店,かなりサクッとなライトプラン,4.0,ライトプランでマグカップ作りを楽しみました。
瑞光窯　京都清水店,誕生日記念にお茶碗作りました,4.0,毎年恒例の旦那さんの誕生日記念に色々な体験をします
瑞光窯　京都清水店,2度目の利用です,4.0,前回、作ったお皿の色味、形が理想通りだったので、今回も、友人と2度目の利用です。
瑞光窯　京都清水店,人生初、女子3人でろくろ体験！,5.0,ずっと気になっていた瑞光窯で家族3人でろくろを体験しました！
瑞光窯　京都清水店,初めての陶芸,5.0,60分コースさせていただきました。スタッフさんが親切、丁寧にいちから教えて下さり分かりやすく思うような作品に仕上がったと思います。届くまで2か月はかかるとおっしゃってましたがその間待つのも楽しみのひとつですね。関西圏からの日帰りでしたが１日ゆったりとした日を過ごすことができました。ありがとうございます。写真撮ってくださいました。
瑞光窯　京都清水店,楽しい！！！,5.0,初めて陶芸にチャレンジ！
瑞光窯　京都清水店,初めてでも安心,5.0,予定より少し早く着いてしまいましたが、快く受け入れていただき、ありがとうございました。
瑞光窯　京都清水店,めっちゃたのしい！,5.0,先生が親身になってご指導くださいました！初めての体験ですが楽しく上手に作ることができて本当に来れてよかったです！
瑞光窯　京都清水店,楽しかった！,5.0,職人さんがほど良く手伝ってくださり、とても可愛い形の湯呑みができました。分かりやすい説明で、初心者でも楽しめました！
瑞光窯　京都清水店,楽しかったです！,5.0,親切に教えてくださり、程よく手伝って下さいました。
瑞光窯　京都清水店,とても楽しかったです！,5.0,不器用なのできちんとできるか不安でしたが、とても丁寧に教えてくださったので、イメージ以上に良いものを作ることができました。
瑞光窯　京都清水店,陶芸初体験！！,5.0,前からずっと興味があって、今回京都で体験出来ると知ってやってみました！！
瑞光窯　京都清水店,ろくろ体験,5.0,初めての体験でしたが、丁寧に教えてくださり、気に入った形を作ることができました。
京都着物レンタルきらり,控えめに言って最高,5.0,"何よりコスパがすごい。一人3,000円でこのクオリティ。思わず2年ぶりにリピートしてしまいました。"
京都着物レンタルきらり,また利用させて貰いたい,5.0,電車に乗り遅れて30分も遅刻したけど、丁寧に対応してくださり、お着物か浴衣かにする説明や提案もくれました。受付の男性の方がめちゃくちゃ饒舌で面白く、「めちゃオモロイですね」というと、「先月から入ったバイトなんです」と真顔で言う。絶対ちゃうやん、呉服の道一筋のオーラやん、と笑っても、「いやいや、ホンマですねん。まだ1ヶ月」と言いながら、鼻がヒクヒクして、最後はニヤリと笑ってましたね。どんな相手に会うのか、場所はどこか、どんな会合かという情報から、暑いけど着物がいいのかも知れないですねーとのアドバイスが助かりました。髪の毛も5分くらいでめちゃくちゃ可愛くしてくれ、遅刻したから急いでいたのもあるけど、全部で30分くらいで終わりました。最近の流行りの柄や小物も見れて、今度はあれ着たいなーと思ってしまった。
京都着物レンタルきらり,明るくて親切でした。,4.0,ほとんど外国人でした。混んでいましたが親切で浴衣の種類も豊富で良かったです。ヘアも込みでお値打ちです。
京都着物レンタルきらり,大満足な京都旅行,5.0,着物選びの際に、スタッフの方が一緒に行った娘と合う色合いや種類も提案してくれて、楽しんで選ぶことができました。
京都着物レンタルきらり,料金も内容も大満足！,5.0,時間に30分ほど遅れて行ったのに、とても丁寧に対応していただきました。着物選びも似合いそうな着物を提案していただき、また彼氏と色を合わせてくださり、写真を見返すととても綺麗で大満足でした。伏見稲荷からすぐ近く、清水寺付近までは電車で15分ほどと、場所もよく、荷物も追加料金なしで預かっていただける点も良いです。
京都着物レンタルきらり,また利用したいです,5.0,せっかく京都へ行くのだから、普段できない着物での散策をしたいと思っていました。
京都着物レンタルきらり,フレンドリーで安くて最高!,5.0,着物の種類が多くて迷っていると、フレンドリーに話しかけて下さりおすすめを教えて下さいました。こちらの要望も快く聞いて下さり髪型や鞄にもとても満足しました。お値段も学生にはとてもありがたかったです。また着物を着たくなったらここにします!
京都着物レンタルきらり,とても良かった,5.0,とても親身になって着物選びをしてくださいました
京都着物レンタルきらり,これを5つ星と言わずに何を5つ星というのかというくらい素晴らしい。,5.0,まず、安い。
京都着物レンタルきらり,おじさんが素晴らしいお店,5.0,どんな着物にするか親身に考えて頂きました！
京都着物レンタルきらり,めっちゃ良かった。,5.0,駅からめちゃくちゃ近くて、店員さんがとても感じが良く、お着物も素敵なデザインのものが揃っていて良かったです。お着物を選ぶ際アドバイスをくださるお姉さん系の男性が素晴らしくステキな方で、その優しさと面白さの虜になってしまいました。
